Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
285,49.5,50.5,45421,24,18,30,19.1,15,111,110,110,Primary
350,53.4,46.6,47681,20,9,7,18.3,19.1,107,103,106,Primary
410,49,51,47719,25,15,3,24.4,16.7,109,108,108,Primary
405,44.2,55.8,43671,24,21,9,21.2,18.5,113,110,109,Primary
427,49.2,50.8,43629,25,16,11,21.7,19.4,102,100,99,Primary
285,46.3,53.7,46138,18,28,6,16.6,17.2,107,106,104,Primary
197,51.3,48.7,42248,16,10,4,15.3,12.9,108,106,105,Primary
228,54.4,45.6,45758,15,15,3,13.2,17.3,105,103,101,Primary
188,46.3,53.7,44079,12,12,7,11,17.1,109,106,106,Primary
417,47.7,52.3,45015,30,32,16,29.6,13.7,104,104,104,Primary
377,46.7,53.3,46995,22,19,6,19.8,18.8,,,,Primary
472,47.7,52.3,54873,25,39,12,21.8,21.1,105,102,105,Primary
396,50.8,49.2,48455,24,28,11,22.4,17.7,106,105,104,Primary
415,49.6,50.4,46831,27,17,9,26.1,15.9,,,,Primary
444,44.1,55.9,59234,25,32,9,23.6,18.7,107,106,106,Primary
459,50.5,49.5,50951,23,34,15,21.1,21.6,103,102,101,Primary
227,50.2,49.8,48427,12,13,3,10.4,21.8,105,105,103,Primary
236,51.3,48.7,47726,15,17,5,11.8,20,103,104,103,Primary
195,51.8,48.2,42982,12,8,3,10.5,18.6,104,107,104,Primary
224,47.3,52.7,42012,12,16,3,11.4,19.6,110,108,108,Primary
266,50.4,49.6,42893,14,14,4,12.7,20.8,104,102,101,Primary
229,52.8,47.2,40240,12,9,6,12,19.1,,,,Primary
176,52.8,47.2,43526,11,28,2,10.3,17.1,108,105,105,Primary
210,52.4,47.6,43436,14,9,2,11.9,17.7,107,103,106,Primary
237,46.8,53.2,44817,17,31,3,14.3,16.6,105,105,102,Primary
324,49.4,50.6,46023,19,15,4,16.4,19.7,107,103,104,Primary
198,57.1,42.9,47513,11,19,3,11,17.7,102,105,106,Primary
260,46.9,53.1,43010,16,8,5,15.2,17.1,108,105,106,Primary
222,51.4,48.6,44410,14,6,4,13.5,16.4,107,106,105,Primary
213,56.8,43.2,41897,13,9,3,13,16.3,104,102,104,Primary
201,50.7,49.3,43617,10,10,5,8.6,23.4,111,109,107,Primary
224,49.6,50.4,45600,10,9,4,9.6,23.3,107,106,105,Primary
226,51.3,48.7,44110,14,10,4,13.1,17.2,107,106,106,Primary
147,53.1,46.9,46311,8,5,2,8,18.4,109,109,107,Primary
210,45.7,54.3,45443,12,13,5,9.4,22,107,106,104,Primary
205,51.2,48.8,47900,12,15,5,9.5,21.5,105,103,100,Primary
206,51.9,48.1,56327,9,6,3,9,22.9,108,107,107,Primary
217,58.5,41.5,49170,11,6,6,11,19.7,107,106,104,Primary
950,41.4,58.6,49446,71,19,24,69.5,13.7,109,106,105,Secondary
1170,96,4,45185,82,5,25,77.9,15,105,105,104,Secondary
1003,45,55,43879,70,10,28,69.4,14.5,106,105,106,Secondary
1308,47.5,52.5,45698,92,19,28,90.1,14.5,105,103,103,Secondary
1008,33.7,66.3,45981,82,28,26,78.4,12.9,107,106,107,Secondary
1025,85.8,14.2,49134,83,12,29,63.8,16.1,105,105,104,Secondary
711,58.8,41.2,46464,56,16,20,55,12.9,108,106,104,Secondary
836,7.7,92.3,51492,58,9,19,54.3,15.4,109,105,106,Secondary
1073,98.6,1.4,48383,84,8,25,75.1,14.3,103,105,104,Secondary
226,57.5,42.5,45746,14,17,6,11.3,19.5,105,105,106,Primary
677,47.3,52.7,43929,36,25,8,35.3,19.2,102,104,99,Primary
97,50.5,49.5,37371,6,6,2,5.2,18.7,103,106,101,Primary
1133,47.8,52.2,45641,93,37,35,86.5,13.1,103,103,101,Secondary
143,40.6,59.4,43589,9,8,2,8.7,16.5,114,111,110,Primary
262,45,55,43096,12,21,3,11.6,22.3,103,104,103,Primary
861,48.2,51.8,43649,45,34,14,40,20.9,105,106,103,Primary
430,48.8,51.2,48193,22,24,7,20.3,20.3,108,107,107,Primary
243,44.9,55.1,38228,15,19,6,12.4,18.5,108,106,105,Primary
438,40.9,59.1,39750,25,30,9,22.7,18.7,109,109,105,Primary
393,50.4,49.6,41523,20,15,7,19.6,19.6,104,105,104,Primary
354,49.4,50.6,44977,22,24,3,21,16.4,108,106,106,Primary
437,51.9,48.1,42843,19,31,5,16.8,25.5,105,106,104,Primary
350,49.7,50.3,43789,20,17,6,18.8,17.9,109,107,104,Primary
424,48.1,51.9,43460,17,21,10,16.3,24.7,107,103,104,Primary
677,50.8,49.2,35293,35,31,9,34,19.3,103,101,102,Primary
414,49.3,50.7,43712,30,20,7,29.3,13.5,108,107,107,Primary
237,49.4,50.6,46997,20,15,12,15.8,14.4,100,99,99,Primary
791,46.4,53.6,45938,40,40,24,35.9,21.4,108,107,106,Primary
480,46.3,53.8,37640,19,23,7,17.8,25.2,108,109,107,Primary
239,54,46,39331,10,12,6,9,25.1,106,105,102,Primary
421,47.3,52.7,50327,20,31,5,16.6,24.4,106,105,105,Primary
453,55.8,44.2,45084,25,26,6,20.7,21,104,107,105,Primary
457,48.1,51.9,42465,28,27,8,26.4,16.3,106,103,103,Primary
598,46,54,42612,32,35,9,28.9,19.9,101,100,97,Primary
408,49.3,50.7,42285,26,31,6,24.2,16.3,105,105,105,Primary
465,52.7,47.3,50064,25,20,11,21.6,20.2,105,106,106,Primary
869,48.9,51.1,41169,45,25,29,41,20.3,102,100,99,Primary
390,45.4,54.6,44964,24,20,8,22.2,16.6,107,107,106,Primary
232,50.9,49.1,46250,15,16,4,11.6,19.1,107,105,105,Primary
446,51.3,48.7,41945,21,27,22,19.1,22,106,105,102,Primary
463,54.4,45.6,46055,13,22,10,13,34.3,106,107,104,Primary
187,53.5,46.5,54052,11,13,5,11,17,110,107,106,Primary
210,51,49,43911,9,15,5,8.6,24.4,107,104,102,Primary
452,46.5,53.5,42233,25,21,5,22.3,19.4,104,101,102,Primary
298,47.7,52.3,43680,18,16,6,14,21.3,101,102,100,Primary
192,57.8,42.2,45519,12,16,3,10.8,17.8,108,106,107,Primary
331,51.1,48.9,44408,19,19,11,16.5,19.4,104,103,103,Primary
1169,50.4,49.6,40603,73,58,24,70.5,16.3,106,106,107,All through
353,47.3,52.7,37474,17,7,4,15.2,22.5,107,106,104,Primary
236,50.4,49.6,48637,13,9,6,11.9,19.1,104,104,101,Primary
209,49.3,50.7,43887,10,9,4,9.2,22.7,103,104,104,Primary
199,53.3,46.7,45049,9,9,3,8.8,22.6,112,109,110,Primary
394,49.7,50.3,39430,25,26,4,21.9,17.1,112,111,110,Primary
173,42.8,57.2,44059,6,10,8,6,28.7,103,103,103,Primary
192,54.7,45.3,43927,10,7,2,8.2,23.3,109,107,105,Primary
216,46.8,53.2,43285,11,11,3,10.6,19.5,109,105,103,Primary
211,55.5,44.5,39578,14,13,3,12.7,15.7,105,104,102,Primary
1114,99.2,0.8,48069,72,10,21,68.1,16.4,106,105,105,Secondary
1432,91.9,8.1,45557,110,39,46,98.6,14.5,104,104,102,Secondary
1905,45.2,54.8,46617,120,42,47,110.4,17.3,110,107,107,Secondary
1216,42.6,57.4,47731,85,23,30,80.1,15.2,103,103,103,Secondary
624,100,0,44340,45,9,15,41.6,15,108,107,105,Secondary
643,50.2,49.8,46876,32,36,6,29.8,20.9,110,106,107,Primary
1193,44.1,55.9,42484,101,29,18,95.4,12.5,109,108,107,Secondary
430,46.7,53.3,46558,20,32,7,19.8,20.8,108,106,105,Primary
699,49.2,50.8,45628,30,38,21,29.4,22.1,106,104,104,Primary
808,46.3,53.7,38465,53,64,11,41.3,19.2,107,103,102,Primary
587,47.2,52.8,40052,35,39,8,34,17.3,107,105,103,Primary
467,52.5,47.5,38330,23,21,4,21.7,19.9,109,106,107,Primary
471,47.3,52.7,40584,28,22,28,25.6,17,115,111,108,Primary
551,37.7,62.3,39508,37,13,15,36.8,15,104,103,103,Secondary
1144,42.8,57.2,50140,92,8,21,89.5,12.8,105,105,104,Secondary
1514,5.9,94.1,46694,120,27,36,114.4,13.2,111,108,107,Secondary
1611,43.7,56.3,44799,86,30,31,79.6,20.2,102,106,106,Secondary
624,47,53,44753,42,13,17,41.2,15.1,110,109,106,Secondary
237,40.1,59.9,,,,,,,109,106,105,Secondary
819,49.3,50.7,43979,47,41,16,43.4,18.4,107,105,105,Primary
420,45,55,43771,19,22,6,18.4,21.9,105,107,109,Primary
249,51.4,48.6,36152,15,7,6,13.4,17.9,107,106,106,Primary
466,45.1,54.9,35501,24,21,11,24,18.8,107,105,105,Primary
710,50.1,49.9,44009,36,43,11,34.6,19.1,101,101,101,Primary
231,48.1,51.9,45718,13,14,5,12.2,18.3,106,104,104,Primary
605,49.4,50.6,41644,40,29,14,38.1,15.1,105,104,103,Primary
624,51.4,48.6,43138,35,23,10,32.2,18.7,102,101,100,Primary
417,51.1,48.9,34206,21,19,9,17.8,23.4,108,106,106,Primary
423,49.9,50.1,39985,29,19,7,26.7,15.3,106,107,106,Primary
478,51.3,48.7,49213,26,19,8,21.5,21.5,109,105,107,Primary
200,50.5,49.5,52650,16,11,9,13.2,14.8,103,106,100,Primary
605,31.1,68.9,38032,19,1,6,18.6,32.5,105,105,105,Secondary
462,51.7,48.3,42828,19,19,5,17.4,25.8,108,106,106,Primary
313,44.4,55.6,41543,20,21,23,17.7,16,104,103,103,Primary
242,47.9,52.1,45589,14,13,7,11.1,20.4,105,103,102,Primary
1035,39.5,60.5,49207,75,33,32,73.8,14,104,105,106,Secondary
175,50.3,49.7,,,,,,,104,103,101,Secondary
568,48.1,51.9,39672,28,18,19,27.8,19.6,107,106,107,Primary
457,46.2,53.8,44451,31,42,7,26.9,16.3,106,105,106,Primary
248,49.6,50.4,47240,16,21,6,12.7,18.6,101,101,102,Primary
472,49.8,50.2,44076,27,26,19,23.3,20,112,110,108,Primary
662,50.9,49.1,43817,34,35,21,30.1,21.5,103,101,105,Primary
432,51.2,48.8,40722,29,16,15,26.5,15.8,110,109,110,Primary
558,52.5,47.5,48415,30,42,11,27.7,19.5,104,106,104,Primary
509,53.2,46.8,44629,24,29,14,22.8,21.6,106,103,106,Primary
457,50.8,49.2,43698,28,13,10,21.9,19.9,105,105,105,Primary
490,46.7,53.3,43077,30,37,7,27.6,17.1,101,103,103,Primary
556,48,52,43230,29,32,19,25.8,20.5,107,106,106,Primary
648,51.5,48.5,40900,35,27,12,31.4,20.3,0,0,0,Primary
251,54.6,45.4,49276,12,1,2,11.2,21.7,110,110,110,Primary
508,49.8,50.2,44797,25,39,8,22,21.9,104,105,106,Primary
687,48.3,51.7,44642,42,24,13,37.7,17.6,110,106,107,Primary
499,49.3,50.7,46696,30,30,14,25.9,18.7,108,107,107,Primary
424,52.6,47.4,46757,19,13,7,17.1,24.5,103,100,102,Primary
633,46,54,44596,40,42,7,35.1,17.7,108,108,107,Primary
449,51,49,44217,22,15,9,21.6,20.1,103,103,104,Primary
401,48.4,51.6,43795,21,26,7,21,18.1,107,109,111,Primary
469,47.1,52.9,46323,25,14,12,21.7,20.8,111,106,105,Primary
404,53,47,45087,12,1,0,12,32.7,107,106,105,Primary
390,40.5,59.5,46262,23,33,7,20.2,18.8,103,101,101,Primary
429,50.3,49.7,45573,21,22,18,18.6,22.6,107,106,106,Primary
472,48.7,51.3,43494,25,28,18,21.4,21.4,105,99,100,Primary
631,53.4,46.6,39885,34,34,23,30.2,19.8,113,112,107,Primary
693,49.4,50.6,45931,39,46,17,33.6,19.6,108,106,107,Primary
308,49.7,50.3,42677,15,6,7,13.8,22.4,109,107,106,Primary
301,49.2,50.8,46076,18,18,3,14.7,19.4,108,108,105,Primary
661,45.8,54.2,46682,38,41,15,33.2,19.1,0,0,0,Primary
607,48.1,51.9,46401,35,31,15,30.4,19.3,106,104,108,Primary
464,53,47,51962,23,26,8,17.6,26.4,105,103,102,Primary
492,48.6,51.4,49551,28,21,8,24.9,19.3,104,106,105,Primary
258,52.7,47.3,56730,19,12,4,11.8,21.8,105,103,104,Primary
440,48.4,51.6,47068,25,24,8,19.8,21.6,106,105,107,Primary
235,50.6,49.4,43963,12,25,5,11.6,20.3,113,111,110,Primary
204,47.1,52.9,46995,13,18,5,11.2,17.5,108,107,108,Primary
322,47.2,52.8,43332,17,11,6,14.8,20.9,107,107,109,Primary
267,43.8,56.2,49983,16,7,5,13.1,20.3,104,107,107,Primary
680,49.7,50.3,43072,38,34,31,33.8,19.5,107,105,105,Primary
239,47.7,52.3,44931,14,11,4,10.8,22.1,109,105,103,Primary
189,46,54,53558,12,16,3,8.4,22.6,105,106,106,Primary
237,44.7,55.3,48368,11,12,5,11,20.8,109,108,109,Primary
172,54.7,45.3,42121,13,10,6,11.2,15.4,103,103,102,Primary
232,50,50,41749,16,8,6,13.3,17,107,107,108,Primary
229,48,52,50780,12,11,5,9.8,22.1,107,104,104,Primary
380,55.5,44.5,41698,21,26,5,18.6,20.4,110,108,106,Primary
196,57.7,42.3,46688,9,11,5,8.8,22.3,100,99,102,Primary
208,48.6,51.4,46521,10,11,7,9.2,22.6,104,102,103,Primary
246,47.6,52.4,50822,14,11,5,10.4,23.6,110,109,108,Primary
226,49.6,50.4,42735,13,14,6,12.1,17.5,105,103,104,Primary
192,47.4,52.6,49348,11,10,7,10.4,18.5,102,102,101,Primary
323,48.9,51.1,44481,19,17,4,15.7,20,105,104,104,Primary
222,48.6,51.4,44592,13,7,8,11.8,18.4,110,108,110,Primary
249,51,49,44930,20,20,5,12.4,19.4,105,101,101,Primary
230,47,53,46721,10,20,3,7.8,28.6,103,102,100,Primary
241,58.9,41.1,48321,17,13,6,12.7,18.5,109,109,106,Primary
901,45.2,54.8,44865,75,12,26,65.9,13.7,0,0,0,Secondary
1418,99.2,0.8,47640,89,11,32,84,16.9,106,105,106,Secondary
871,41.6,58.4,45538,58,22,28,56.7,15.4,109,107,104,Secondary
780,43.8,56.2,46127,60,13,26,53.8,14.5,109,106,107,Secondary
1251,1.3,98.7,43324,77,14,28,74.2,16.9,108,108,109,Secondary
1010,51.6,48.4,45731,72,25,29,68.7,14.7,104,103,105,All through
558,45.2,54.8,49184,44,13,15,41.9,13.3,107,106,105,Secondary
906,43.4,56.6,43236,60,29,16,59.5,15.2,109,105,107,All through
931,89.3,10.7,50842,61,7,31,56.5,16.5,110,106,104,Secondary
821,44.8,55.2,45986,49,0,5,47.6,17.2,108,107,107,Secondary
1317,44.5,55.5,41942,87,14,30,86,15.3,108,105,106,All through
1827,50.8,49.2,46433,102,22,38,96.5,18.7,107,107,106,All through
945,49,51,45537,71,19,21,69,13.7,103,99,101,All through
828,40.5,59.5,46980,50,19,22,49.4,16.2,108,107,104,All through
461,47.3,52.7,45737,32,29,7,29.8,15,107,104,104,Primary
